"emp_no","first_name","last_name","dept_name"
10001,"Georgi","Facello","Development"
10002,"Bezalel","Simmel","Sales"
10003,"Parto","Bamford","Production"
10004,"Chirstian","Koblick","Production"
10005,"Kyoichi","Maliniak","Human Resources"
10006,"Anneke","Preusig","Development"
10007,"Tzvetan","Zielinski","Research"
10008,"Saniya","Kalloufi","Development"
10009,"Sumant","Peac","Quality Management"
10010,"Duangkaew","Piveteau","Production"
10010,"Duangkaew","Piveteau","Quality Management"
10011,"Mary","Sluis","Customer Service"
10012,"Patricio","Bridgland","Development"
10013,"Eberhardt","Terkki","Human Resources"
10014,"Berni","Genin","Development"
10015,"Guoxiang","Nooteboom","Research"
10016,"Kazuhito","Cappelletti","Sales"
10017,"Cristinel","Bouloucos","Marketing"
10018,"Kazuhide","Peha","Production"
10018,"Kazuhide","Peha","Development"
